val_acc,epoch,val_loss,step,train_acc,train_loss,test_acc
0.06666667014360428,0,0.818465530872345,1,,,
,0,,1,0.5111111402511597,0.6800618767738342,
1.0,1,0.4726060628890991,3,,,
,1,,3,0.6222222447395325,0.6597482562065125,
1.0,2,0.25130462646484375,5,,,
,2,,5,0.7666666507720947,0.584440290927887,
1.0,3,0.07917499542236328,7,,,
,3,,7,0.7666666507720947,0.5320286750793457,
1.0,4,0.01373279932886362,9,,,
,4,,9,0.7666666507720947,0.5023459792137146,
1.0,5,0.002375819720327854,11,,,
,5,,11,0.7777777910232544,0.4787197411060333,
1.0,6,0.0003699815133586526,13,,,
,6,,13,0.800000011920929,0.44522935152053833,
1.0,7,0.00017505975847598165,15,,,
,7,,15,0.8222222328186035,0.4404652416706085,
1.0,8,2.5631528842495754e-05,17,,,
,8,,17,0.7888888716697693,0.4370785057544708,
1.0,9,7.578951226605568e-06,19,,,
,9,,19,0.8222222328186035,0.426472008228302,
1.0,10,3.9842043406679295e-06,21,,,
,10,,21,0.7888888716697693,0.4284670948982239,
1.0,11,1.0861261898753582e-06,23,,,
,11,,23,0.7888888716697693,0.4632261097431183,
1.0,12,5.192219418859167e-07,25,,,
,12,,25,0.800000011920929,0.43420591950416565,
1.0,13,1.5629655081284e-07,27,,,
,13,,27,0.8111110925674438,0.39755934476852417,
1.0,14,2.6490949878166248e-08,29,,,
,14,,29,0.800000011920929,0.4310133159160614,
1.0,15,3.1789138432714026e-08,31,,,
,15,,31,0.7777777910232544,0.4491397440433502,
1.0,16,1.0596380661809235e-08,33,,,
,16,,33,0.800000011920929,0.39620667695999146,
1.0,17,0.0,35,,,
,17,,35,0.7666666507720947,0.4280632436275482,
1.0,18,2.6490951654523087e-09,37,,,
,18,,37,0.7555555701255798,0.4202384054660797,
1.0,19,0.0,39,,,
,19,,39,0.8222222328186035,0.38598474860191345,
1.0,20,0.0,41,,,
,20,,41,0.7444444298744202,0.41479673981666565,
1.0,21,0.0,43,,,
,21,,43,0.8444444537162781,0.3770684599876404,
1.0,22,0.0,45,,,
,22,,45,0.7888888716697693,0.416932076215744,
1.0,23,0.0,47,,,
,23,,47,0.7777777910232544,0.3920375406742096,
1.0,24,0.0,49,,,
,24,,49,0.7444444298744202,0.46066775918006897,
1.0,25,0.0,51,,,
,25,,51,0.8666666746139526,0.35230326652526855,
1.0,26,0.0,53,,,
,26,,53,0.800000011920929,0.39399972558021545,
1.0,27,0.0,55,,,
,27,,55,0.8111110925674438,0.37010687589645386,
1.0,28,0.0,57,,,
,28,,57,0.8111110925674438,0.38386955857276917,
1.0,29,0.0,59,,,
,29,,59,0.800000011920929,0.35602155327796936,
1.0,30,0.0,61,,,
