step,epoch,val_loss,val_acc,train_loss,train_acc,test_acc
1,0,0.8073798418045044,0.13333334028720856,,,
1,0,,,0.6800856590270996,0.5222222208976746,
3,1,0.4657863676548004,1.0,,,
3,1,,,0.6525391340255737,0.644444465637207,
5,2,0.24135905504226685,1.0,,,
5,2,,,0.5739577412605286,0.7666666507720947,
7,3,0.07139177620410919,1.0,,,
7,3,,,0.5238165855407715,0.7666666507720947,
9,4,0.012440175749361515,1.0,,,
9,4,,,0.4988538920879364,0.7666666507720947,
11,5,0.002663462655618787,1.0,,,
11,5,,,0.4830712080001831,0.7777777910232544,
13,6,0.0004411730624269694,1.0,,,
13,6,,,0.449180006980896,0.7888888716697693,
15,7,0.00021687276603188366,1.0,,,
15,7,,,0.4374499022960663,0.8111110925674438,
17,8,3.571439810912125e-05,1.0,,,
17,8,,,0.43747270107269287,0.7888888716697693,
19,9,1.4677962099085562e-05,1.0,,,
19,9,,,0.43235108256340027,0.7888888716697693,
21,10,6.863637281639967e-06,1.0,,,
21,10,,,0.4305117726325989,0.7888888716697693,
23,11,1.7960740024136612e-06,1.0,,,
23,11,,,0.46966391801834106,0.7777777910232544,
25,12,1.3112952501614927e-06,1.0,,,
25,12,,,0.42455413937568665,0.800000011920929,
27,13,4.794852657141746e-07,1.0,,,
27,13,,,0.4037218391895294,0.800000011920929,
29,14,6.35782697600007e-08,1.0,,,
29,14,,,0.4167218506336212,0.800000011920929,
31,15,1.112619401055781e-07,1.0,,,
31,15,,,0.47613808512687683,0.7333333492279053,
33,16,9.271829526369402e-08,1.0,,,
33,16,,,0.3981269896030426,0.800000011920929,
35,17,2.384185471271394e-08,1.0,,,
35,17,,,0.4307105243206024,0.7555555701255798,
37,18,1.854366615816616e-08,1.0,,,
37,18,,,0.4168703258037567,0.7444444298744202,
39,19,5.298189886815408e-09,1.0,,,
39,19,,,0.3850409686565399,0.8111110925674438,
41,20,2.6490951654523087e-09,1.0,,,
41,20,,,0.42013150453567505,0.7555555701255798,
43,21,2.6490951654523087e-09,1.0,,,
43,21,,,0.3935491442680359,0.7888888716697693,
45,22,2.6490951654523087e-09,1.0,,,
45,22,,,0.4009750485420227,0.800000011920929,
47,23,0.0,1.0,,,
47,23,,,0.3931621015071869,0.8111110925674438,
49,24,0.0,1.0,,,
49,24,,,0.4344366192817688,0.7444444298744202,
51,25,0.0,1.0,,,
